date,day_of_week,month,year,shift,total_arrivals,staff_on_duty,crowding_ratio,avg_wait_min,avg_los_min,admitted,discharged,left_without_seen,transferred,readmit_rate,triage_critical,triage_urgent,triage_semi_urgent,triage_non_urgent,patient_satisfaction,insured_rate,primary_diagnosis,is_holiday,is_surge_event
2022-01-28,Friday,January,2022,Night,163,18,1.39,121.5,234.5,46,81,17,19,0.073,9,30,71,61,3.8,0.61,Abdominal,0,0
2022-01-29,Saturday,January,2022,Day,116,16,1.12,61.6,89.0,25,64,11,16,0.09,5,22,57,43,7.1,0.63,Cardiac,0,0
2022-01-30,Sunday,January,2022,Evening,85,19,0.69,60.9,141.0,14,49,7,15,0.073,3,12,32,25,7.2,0.5,Respiratory,0,0
2022-01-31,Monday,January,2022,Day,178,17,1.61,86.8,177.9,51,91,28,8,0.084,9,31,88,56,5.7,0.67,Abdominal,0,0
2022-02-01,Tuesday,February,2022,Evening,204,23,1.36,86.3,176.8,50,131,26,0,0.088,6,39,89,55,7.8,0.58,Respiratory,0,0
2022-02-02,Wednesday,February,2022,Night,196,25,1.21,83.6,126.4,50,120,20,6,0.077,9,42,81,72,5.3,0.67,Cardiac,0,0
2022-02-03,Thursday,February,2022,Night,189,14,2.08,146.0,380.0,45,111,31,2,0.12,10,27,85,60,4.5,0.56,Other,0,0
2022-02-04,Friday,February,2022,Evening,187,16,1.8,111.3,175.0,54,121,23,0,0.108,10,29,81,53,4.8,0.67,Cardiac,0,0
2022-02-05,Saturday,February,2022,Day,119,19,0.96,71.7,203.6,21,77,10,11,0.075,6,28,46,40,6.1,0.55,Psychiatric,0,0
2022-02-06,Sunday,February,2022,Night,77,19,0.62,45.5,77.2,18,42,3,14,0.076,4,15,36,24,8.4,0.67,Neurological,0,0
2022-02-07,Monday,February,2022,Day,165,21,1.21,81.0,165.7,48,90,17,10,0.073,6,24,64,43,7.1,0.74,Neurological,0,0
2022-02-08,Tuesday,February,2022,Evening,173,19,1.4,103.1,227.4,43,100,16,14,0.079,5,34,77,61,5.0,0.57,Neurological,0,0
2022-02-09,Wednesday,February,2022,Day,176,19,1.43,78.1,110.2,35,106,18,17,0.078,6,29,77,49,6.2,0.73,Psychiatric,0,0
2022-02-10,Thursday,February,2022,Evening,222,15,2.28,138.8,336.6,65,109,39,9,0.118,4,47,102,76,3.7,0.69,Cardiac,0,1
2022-02-11,Friday,February,2022,Evening,163,19,1.32,76.2,205.7,27,109,13,14,0.096,9,35,71,50,6.2,0.64,Psychiatric,0,0
2022-02-12,Saturday,February,2022,Evening,127,16,1.22,83.4,220.7,23,85,15,4,0.074,5,30,62,38,5.6,0.58,Trauma,0,0
2022-02-13,Sunday,February,2022,Evening,94,17,0.85,69.5,177.5,24,62,8,0,0.073,4,17,37,32,7.0,0.61,Abdominal,0,0
2022-02-14,Monday,February,2022,Evening,163,21,1.19,90.7,194.6,32,95,19,17,0.078,6,27,67,54,6.3,0.75,Neurological,0,0
2022-02-15,Tuesday,February,2022,Evening,185,22,1.29,92.9,208.6,35,101,19,30,0.078,10,35,73,50,6.2,0.73,Other,0,0
2022-02-16,Wednesday,February,2022,Evening,160,19,1.3,76.2,142.6,42,82,21,15,0.099,6,30,63,48,6.8,0.56,Trauma,0,0
2022-02-17,Thursday,February,2022,Evening,178,16,1.71,102.3,218.4,43,117,20,0,0.09,8,35,88,51,6.1,0.71,Respiratory,0,0
2022-02-18,Friday,February,2022,Evening,279,21,2.04,119.0,252.9,66,160,50,3,0.101,15,66,119,90,4.7,0.57,Respiratory,0,1
2022-02-19,Saturday,February,2022,Day,118,15,1.21,63.9,94.7,20,64,9,25,0.073,3,24,54,32,6.8,0.58,Respiratory,0,0
2022-02-20,Sunday,February,2022,Evening,92,17,0.83,61.7,152.5,21,51,9,11,0.075,2,16,38,30,7.1,0.59,Trauma,0,0
2022-02-21,Monday,February,2022,Evening,175,15,1.79,123.0,310.6,37,86,23,29,0.103,3,40,68,46,3.3,0.61,Trauma,0,0
2022-02-22,Tuesday,February,2022,Night,182,19,1.47,125.0,311.0,32,111,22,17,0.101,10,36,82,55,5.8,0.58,Respiratory,0,0
2022-02-23,Wednesday,February,2022,Night,150,18,1.28,90.2,152.1,32,90,17,11,0.071,7,23,66,37,5.0,0.69,Trauma,0,0
2022-02-24,Thursday,February,2022,Day,161,18,1.38,77.7,197.2,38,83,14,26,0.099,5,26,78,56,6.4,0.68,Respiratory,0,0
2022-02-25,Friday,February,2022,Day,136,21,1.0,56.6,105.0,26,84,9,17,0.062,4,22,60,42,7.4,0.64,Abdominal,0,0
2022-02-26,Saturday,February,2022,Night,97,17,0.88,92.8,173.2,20,65,10,2,0.064,2,23,37,26,6.0,0.58,Trauma,0,0
2022-02-27,Sunday,February,2022,Day,79,19,0.64,45.9,90.7,19,53,3,4,0.075,2,13,31,26,8.2,0.53,Respiratory,0,0
2022-02-28,Monday,February,2022,Day,147,23,0.98,63.7,82.2,37,87,15,8,0.061,6,25,69,40,7.1,0.7,Trauma,0,0
2022-03-01,Tuesday,March,2022,Day,151,20,1.16,69.8,122.1,42,82,14,13,0.09,6,32,57,47,6.6,0.69,Other,0,0
2022-03-02,Wednesday,March,2022,Evening,141,17,1.28,76.8,186.1,24,75,16,26,0.085,6,32,70,39,5.8,0.55,Trauma,0,0
2022-03-03,Thursday,March,2022,Night,113,15,1.16,96.1,118.5,21,72,14,6,0.071,4,18,44,36,6.5,0.66,Cardiac,0,0
2022-03-04,Friday,March,2022,Day,126,21,0.92,57.4,82.6,29,77,12,8,0.07,4,25,53,40,7.9,0.63,Abdominal,0,0
2022-03-05,Saturday,March,2022,Night,92,15,0.94,65.9,120.9,26,50,9,7,0.078,4,15,43,24,8.0,0.57,Respiratory,0,0
2022-03-06,Sunday,March,2022,Day,70,18,0.6,46.5,116.6,12,37,5,16,0.068,1,11,32,20,8.0,0.55,Abdominal,0,0
2022-03-07,Monday,March,2022,Night,142,10,2.18,144.7,167.1,40,81,23,0,0.119,5,28,59,44,4.3,0.63,Other,0,0
2022-03-08,Tuesday,March,2022,Evening,143,13,1.69,93.1,105.2,30,92,17,4,0.091,7,25,55,43,5.2,0.72,Respiratory,0,0
2022-03-09,Wednesday,March,2022,Night,137,12,1.76,120.2,217.8,29,77,19,12,0.105,4,31,57,42,4.8,0.63,Neurological,0,0
2022-03-10,Thursday,March,2022,Night,145,10,2.23,146.4,373.2,30,70,26,19,0.1,7,30,62,49,2.5,0.68,Respiratory,0,0
2022-03-11,Friday,March,2022,Evening,141,9,2.41,202.0,353.9,29,93,23,0,0.115,5,22,64,46,2.0,0.69,Other,0,0
2022-03-12,Saturday,March,2022,Day,98,12,1.26,75.7,126.6,22,47,11,18,0.087,4,21,41,32,6.8,0.54,Other,0,0
2022-03-13,Sunday,March,2022,Night,67,10,1.03,65.7,119.5,19,34,5,9,0.089,2,9,31,24,7.6,0.64,Trauma,0,0
2022-03-14,Monday,March,2022,Evening,147,17,1.33,94.8,180.3,41,95,20,0,0.084,5,29,73,41,6.6,0.58,Psychiatric,0,0
2022-03-15,Tuesday,March,2022,Day,161,19,1.3,89.5,182.2,30,104,15,12,0.087,8,37,74,59,5.8,0.63,Cardiac,0,0
2022-03-16,Wednesday,March,2022,Evening,204,19,1.65,134.9,199.5,52,110,27,15,0.105,4,47,81,56,4.6,0.55,Other,0,1
2022-03-17,Thursday,March,2022,Evening,139,20,1.07,84.0,175.4,30,82,14,13,0.066,2,22,60,49,7.2,0.73,Abdominal,0,0
2022-03-18,Friday,March,2022,Evening,151,19,1.22,69.0,112.2,31,88,12,20,0.08,4,28,72,51,7.0,0.75,Cardiac,0,0
2022-03-19,Saturday,March,2022,Night,83,15,0.85,67.6,184.7,17,47,5,14,0.078,2,17,38,29,6.4,0.48,Neurological,0,0
2022-03-20,Sunday,March,2022,Night,62,16,0.6,47.1,95.8,12,29,4,17,0.057,3,11,26,20,7.4,0.57,Respiratory,0,0
2022-03-21,Monday,March,2022,Day,142,15,1.46,84.0,162.1,31,74,21,16,0.095,4,28,66,47,5.1,0.73,Abdominal,0,0
2022-03-22,Tuesday,March,2022,Day,134,16,1.29,67.9,128.2,34,71,14,15,0.073,5,32,51,40,7.2,0.64,Psychiatric,0,0
2022-03-23,Wednesday,March,2022,Night,118,19,0.96,96.0,200.9,23,69,10,16,0.074,3,17,56,40,5.9,0.75,Psychiatric,0,0
2022-03-24,Thursday,March,2022,Evening,131,16,1.26,86.4,185.8,35,88,13,0,0.082,5,29,50,35,6.5,0.57,Cardiac,0,0
2022-03-25,Friday,March,2022,Night,128,19,1.04,76.4,138.7,27,75,11,15,0.075,5,22,52,46,6.3,0.62,Neurological,0,0
2022-03-26,Saturday,March,2022,Evening,153,16,1.47,92.1,163.2,40,86,17,10,0.101,8,29,63,50,5.7,0.48,Abdominal,0,1
2022-03-27,Sunday,March,2022,Night,77,14,0.85,53.2,126.2,16,43,8,10,0.057,3,16,36,19,8.8,0.58,Cardiac,0,0
2022-03-28,Monday,March,2022,Day,132,17,1.19,69.1,168.1,22,73,11,26,0.072,7,26,55,44,7.1,0.67,Neurological,0,0
2022-03-29,Tuesday,March,2022,Evening,138,18,1.18,88.0,164.2,32,68,15,23,0.087,7,28,66,44,5.5,0.6,Cardiac,0,0
2022-03-30,Wednesday,March,2022,Night,133,17,1.2,89.0,139.4,32,82,10,9,0.07,6,31,61,34,5.7,0.6,Trauma,0,0
2022-03-31,Thursday,March,2022,Evening,133,23,0.89,53.1,95.2,26,79,11,17,0.065,3,21,51,34,7.5,0.57,Other,0,0
2022-04-01,Friday,April,2022,Day,143,13,1.69,93.3,147.5,32,97,20,0,0.095,8,26,64,40,4.8,0.66,Respiratory,0,0
2022-04-02,Saturday,April,2022,Day,92,20,0.71,47.4,102.1,18,46,3,25,0.076,4,20,37,31,7.1,0.57,Abdominal,0,0
2022-04-03,Sunday,April,2022,Night,68,17,0.62,34.8,84.1,17,35,5,11,0.06,1,9,30,17,9.0,0.56,Neurological,0,0
2022-04-04,Monday,April,2022,Night,145,18,1.24,91.9,181.8,26,86,19,14,0.076,4,33,64,36,6.2,0.67,Other,0,0
2022-04-05,Tuesday,April,2022,Night,132,15,1.35,116.7,262.2,27,86,15,4,0.08,3,25,65,46,6.2,0.73,Respiratory,0,0
2022-04-06,Wednesday,April,2022,Night,123,17,1.11,94.4,210.5,23,73,13,14,0.077,2,26,57,45,6.0,0.61,Cardiac,0,0
2022-04-07,Thursday,April,2022,Day,121,15,1.24,64.4,136.8,31,80,10,0,0.095,7,18,55,34,6.4,0.67,Trauma,0,0
2022-04-08,Friday,April,2022,Day,126,20,0.97,76.3,124.1,35,73,8,10,0.089,2,20,60,34,5.5,0.66,Other,0,0
2022-04-09,Saturday,April,2022,Night,83,22,0.58,45.0,106.4,19,40,2,22,0.065,4,17,38,24,6.9,0.62,Other,0,0
2022-04-10,Sunday,April,2022,Day,65,20,0.5,56.7,40.3,14,43,3,5,0.073,1,9,30,24,6.7,0.64,Abdominal,0,0
2022-04-11,Monday,April,2022,Evening,135,19,1.09,90.5,217.2,34,68,10,23,0.08,5,24,61,46,6.8,0.57,Cardiac,0,0
2022-04-12,Tuesday,April,2022,Night,142,23,0.95,84.2,229.9,26,82,10,24,0.086,3,24,58,50,6.8,0.71,Respiratory,0,0
2022-04-13,Wednesday,April,2022,Evening,133,18,1.14,77.0,169.9,27,82,15,9,0.069,6,24,64,39,7.8,0.72,Other,0,0
2022-04-14,Thursday,April,2022,Evening,109,21,0.8,52.6,77.9,20,59,5,25,0.059,2,22,49,34,7.5,0.64,Respiratory,0,0
2022-04-15,Friday,April,2022,Evening,120,15,1.23,93.9,219.3,24,61,14,21,0.087,2,18,47,37,7.5,0.56,Trauma,0,0
2022-04-16,Saturday,April,2022,Night,88,21,0.64,53.2,91.0,17,56,3,12,0.06,3,21,35,26,7.2,0.63,Abdominal,0,0
2022-04-17,Sunday,April,2022,Evening,62,17,0.56,35.3,85.4,18,30,2,12,0.056,2,10,25,19,7.4,0.48,Trauma,0,0
2022-04-18,Monday,April,2022,Evening,172,21,1.26,97.7,180.6,38,113,15,6,0.082,6,33,71,57,5.9,0.66,Neurological,0,1
2022-04-19,Tuesday,April,2022,Night,157,13,1.86,114.1,171.3,44,79,25,9,0.113,4,24,77,40,6.6,0.73,Trauma,0,0
2022-04-20,Wednesday,April,2022,Day,113,18,0.97,67.9,132.1,30,73,7,3,0.062,3,24,54,29,5.8,0.57,Abdominal,0,0
2022-04-21,Thursday,April,2022,Evening,122,16,1.17,73.7,206.3,27,70,10,15,0.09,3,24,48,35,6.5,0.74,Abdominal,0,0
2022-04-22,Friday,April,2022,Evening,121,20,0.93,66.1,169.3,34,66,9,12,0.075,7,24,48,38,6.9,0.7,Cardiac,0,0
2022-04-23,Saturday,April,2022,Night,76,16,0.73,50.8,84.0,19,51,5,1,0.054,3,11,29,25,7.7,0.6,Cardiac,0,0
2022-04-24,Sunday,April,2022,Night,90,17,0.81,60.5,107.6,19,45,5,21,0.084,4,13,37,32,7.8,0.62,Abdominal,0,1
2022-04-25,Monday,April,2022,Night,131,18,1.12,85.4,151.0,31,65,10,25,0.073,5,27,61,46,6.9,0.73,Abdominal,0,0
2022-04-26,Tuesday,April,2022,Day,116,18,0.99,69.6,145.1,24,69,12,11,0.062,6,20,57,38,6.8,0.71,Respiratory,0,0
2022-04-27,Wednesday,April,2022,Day,117,15,1.2,62.1,91.1,27,77,9,4,0.082,5,20,57,30,7.3,0.68,Cardiac,0,0
2022-04-28,Thursday,April,2022,Evening,114,20,0.88,69.8,134.3,27,71,10,6,0.066,6,18,53,31,7.5,0.72,Abdominal,0,0
2022-04-29,Friday,April,2022,Day,134,13,1.59,126.1,273.0,32,75,16,11,0.086,7,29,58,43,4.7,0.6,Psychiatric,0,0
2022-04-30,Saturday,April,2022,Evening,82,19,0.66,57.4,84.4,19,41,7,15,0.058,1,19,34,28,7.3,0.65,Abdominal,0,0
2022-05-01,Sunday,May,2022,Evening,57,17,0.52,43.0,97.9,14,31,3,9,0.065,1,9,22,14,8.1,0.59,Respiratory,0,0
2022-05-02,Monday,May,2022,Night,115,19,0.93,82.5,163.1,20,65,10,20,0.067,3,22,46,39,7.4,0.63,Respiratory,0,0
2022-05-03,Tuesday,May,2022,Day,111,21,0.81,62.8,88.3,29,64,5,13,0.06,3,24,51,38,6.9,0.69,Psychiatric,0,0
2022-05-04,Wednesday,May,2022,Day,133,22,0.93,56.6,124.2,25,73,11,24,0.082,3,23,63,41,6.7,0.74,Trauma,0,0
2022-05-05,Thursday,May,2022,Evening,182,18,1.56,105.5,163.6,50,99,19,14,0.082,4,31,84,68,6.4,0.69,Cardiac,0,1
2022-05-06,Friday,May,2022,Day,141,22,0.99,59.8,125.6,39,69,8,25,0.069,5,27,62,44,7.0,0.58,Respiratory,0,0
2022-05-07,Saturday,May,2022,Evening,86,18,0.74,57.2,91.8,18,45,5,18,0.064,4,14,35,28,7.7,0.66,Cardiac,0,0
2022-05-08,Sunday,May,2022,Evening,69,15,0.71,50.2,112.2,17,38,6,8,0.066,1,14,30,21,8.1,0.55,Cardiac,0,0
2022-05-09,Monday,May,2022,Night,131,24,0.84,56.2,99.5,31,83,9,8,0.06,5,20,58,44,7.7,0.71,Respiratory,0,0
2022-05-10,Tuesday,May,2022,Evening,200,14,2.2,139.2,226.5,41,104,34,21,0.12,6,39,89,62,3.5,0.65,Respiratory,0,1
2022-05-11,Wednesday,May,2022,Evening,137,15,1.41,101.8,187.2,38,79,15,5,0.076,8,28,57,50,5.1,0.68,Cardiac,0,0
2022-05-12,Thursday,May,2022,Evening,113,19,0.91,66.4,145.5,24,71,7,11,0.072,6,27,46,39,7.3,0.71,Cardiac,0,0
2022-05-13,Friday,May,2022,Day,111,17,1.0,79.5,165.0,19,54,11,27,0.089,5,18,53,36,5.9,0.67,Respiratory,0,0
2022-05-14,Saturday,May,2022,Night,82,19,0.66,48.9,87.5,23,41,6,12,0.061,3,16,34,26,7.9,0.56,Respiratory,0,0
2022-05-15,Sunday,May,2022,Evening,68,18,0.58,51.4,153.7,17,39,2,10,0.063,1,10,33,20,8.3,0.62,Neurological,0,0
2022-05-16,Monday,May,2022,Day,136,18,1.16,71.1,167.8,40,81,16,0,0.078,4,19,59,41,6.2,0.62,Respiratory,0,0
2022-05-17,Tuesday,May,2022,Evening,134,17,1.21,95.0,209.3,25,86,11,12,0.091,6,21,56,36,4.3,0.75,Cardiac,0,0
2022-05-18,Wednesday,May,2022,Evening,139,18,1.19,91.2,153.2,34,75,10,20,0.08,2,25,67,46,5.6,0.6,Abdominal,0,0
2022-05-19,Thursday,May,2022,Night,103,19,0.83,70.4,150.0,21,60,5,17,0.08,5,20,41,37,7.2,0.71,Abdominal,0,0
2022-05-20,Friday,May,2022,Night,112,15,1.15,94.8,206.5,24,65,11,12,0.078,6,17,54,35,6.2,0.6,Cardiac,0,0
2022-05-21,Saturday,May,2022,Day,73,17,0.66,44.8,75.7,19,47,5,2,0.079,3,12,36,25,7.0,0.62,Cardiac,0,0
2022-05-22,Sunday,May,2022,Day,63,18,0.54,39.9,111.6,18,37,2,6,0.076,1,15,28,17,8.9,0.65,Other,0,0
2022-05-23,Monday,May,2022,Day,125,18,1.07,82.2,126.4,21,63,15,26,0.076,6,27,47,44,6.7,0.71,Neurological,0,0
2022-05-24,Tuesday,May,2022,Day,116,21,0.85,68.6,185.0,31,72,11,2,0.073,3,21,53,41,8.1,0.67,Trauma,0,0
2022-05-25,Wednesday,May,2022,Night,179,12,2.29,189.6,506.7,37,89,32,21,0.105,7,29,69,59,3.1,0.69,Trauma,0,1
2022-05-26,Thursday,May,2022,Evening,121,20,0.93,61.2,90.7,36,64,6,15,0.07,6,23,54,44,7.9,0.64,Trauma,0,0
2022-05-27,Friday,May,2022,Day,170,24,1.09,77.5,139.8,39,82,15,34,0.075,7,26,73,64,5.5,0.71,Other,0,1
2022-05-28,Saturday,May,2022,Evening,79,22,0.55,55.8,120.6,13,44,2,20,0.06,3,15,35,26,7.4,0.66,Trauma,0,0
2022-05-29,Sunday,May,2022,Night,60,17,0.54,49.8,129.5,12,40,4,4,0.068,1,11,23,19,8.4,0.67,Respiratory,0,0
2022-05-30,Monday,May,2022,Evening,116,15,1.19,79.0,104.7,34,58,15,9,0.068,6,22,48,39,7.0,0.69,Psychiatric,0,0
2022-05-31,Tuesday,May,2022,Day,127,19,1.03,81.0,187.0,25,79,10,13,0.083,3,18,62,37,6.5,0.66,Respiratory,0,0
2022-06-01,Wednesday,June,2022,Night,113,19,0.91,71.1,159.9,20,72,8,13,0.079,4,18,50,31,5.9,0.62,Psychiatric,0,0
2022-06-02,Thursday,June,2022,Evening,115,18,0.98,68.0,150.3,22,76,9,8,0.085,3,26,50,29,6.4,0.74,Cardiac,0,0
2022-06-03,Friday,June,2022,Day,124,19,1.0,58.8,152.5,31,84,10,0,0.06,5,27,56,43,7.5,0.64,Cardiac,0,0
2022-06-04,Saturday,June,2022,Day,79,22,0.55,36.6,68.2,15,50,5,9,0.052,1,16,31,23,8.3,0.65,Cardiac,0,0
2022-06-05,Sunday,June,2022,Evening,68,20,0.52,64.5,119.7,15,45,4,4,0.066,3,13,29,19,7.0,0.47,Abdominal,0,0
2022-06-06,Monday,June,2022,Evening,128,16,1.23,76.8,104.8,35,81,12,0,0.071,3,23,48,41,6.0,0.68,Cardiac,0,0
2022-06-07,Tuesday,June,2022,Evening,117,19,0.95,68.6,110.8,32,67,12,6,0.086,3,24,52,33,6.9,0.59,Neurological,0,0
2022-06-08,Wednesday,June,2022,Day,110,20,0.85,47.3,69.3,23,56,9,22,0.064,4,22,53,37,8.0,0.62,Trauma,0,0
2022-06-09,Thursday,June,2022,Night,116,18,0.99,73.9,121.4,23,65,8,20,0.077,3,24,49,40,7.1,0.6,Trauma,0,0
2022-06-10,Friday,June,2022,Night,137,20,1.05,93.7,152.6,23,76,14,24,0.071,6,21,65,34,6.0,0.69,Psychiatric,0,0
2022-06-11,Saturday,June,2022,Day,75,19,0.61,42.2,88.0,20,47,3,5,0.076,4,14,36,22,6.8,0.61,Respiratory,0,0
2022-06-12,Sunday,June,2022,Day,57,17,0.52,45.2,118.4,11,38,2,6,0.055,3,10,24,14,8.1,0.63,Neurological,0,0
2022-06-13,Monday,June,2022,Night,115,21,0.84,57.9,118.2,31,75,6,3,0.079,4,20,54,37,6.4,0.57,Respiratory,0,0
2022-06-14,Tuesday,June,2022,Night,124,24,0.79,75.9,156.1,32,83,9,0,0.064,5,25,53,33,7.9,0.67,Abdominal,0,0
2022-06-15,Wednesday,June,2022,Day,112,22,0.78,67.6,123.3,28,60,7,17,0.07,4,26,51,28,6.7,0.69,Trauma,0,0
2022-06-16,Thursday,June,2022,Night,110,21,0.81,72.7,194.3,32,70,7,1,0.055,5,16,42,39,7.6,0.58,Trauma,0,0
2022-06-17,Friday,June,2022,Evening,116,23,0.78,66.7,128.7,30,63,6,17,0.059,5,18,49,43,6.9,0.65,Respiratory,0,0
2022-06-18,Saturday,June,2022,Evening,69,18,0.59,44.5,114.5,19,37,5,8,0.058,1,14,27,20,8.4,0.54,Neurological,0,0
2022-06-19,Sunday,June,2022,Day,65,15,0.67,35.4,89.2,12,38,2,13,0.073,2,14,29,21,9.1,0.54,Other,0,0
2022-06-20,Monday,June,2022,Day,121,20,0.93,50.4,111.7,25,74,8,14,0.086,5,20,50,43,8.0,0.69,Neurological,0,0
2022-06-21,Tuesday,June,2022,Day,110,19,0.89,62.2,131.7,20,71,10,9,0.078,3,20,52,31,6.2,0.69,Cardiac,0,0
2022-06-22,Wednesday,June,2022,Night,102,21,0.75,60.5,137.0,18,67,8,9,0.069,2,22,46,31,6.7,0.73,Respiratory,0,0
2022-06-23,Thursday,June,2022,Evening,109,16,1.05,92.5,196.0,32,57,12,8,0.082,6,17,50,40,6.5,0.62,Trauma,0,0
2022-06-24,Friday,June,2022,Day,128,21,0.94,54.9,106.5,28,79,8,13,0.08,3,18,60,45,8.5,0.73,Trauma,0,0
2022-06-25,Saturday,June,2022,Night,80,16,0.77,36.6,69.0,16,40,6,18,0.069,2,12,31,20,8.5,0.57,Trauma,0,0
2022-06-26,Sunday,June,2022,Evening,63,20,0.48,47.0,85.7,13,38,3,9,0.054,1,13,29,18,7.3,0.51,Cardiac,0,0
2022-06-27,Monday,June,2022,Evening,129,19,1.04,67.9,147.6,23,83,15,8,0.069,7,30,61,38,6.2,0.55,Respiratory,0,0
2022-06-28,Tuesday,June,2022,Evening,128,25,0.79,78.6,157.7,30,78,8,12,0.056,3,26,53,42,5.4,0.74,Abdominal,0,0
2022-06-29,Wednesday,June,2022,Night,108,16,1.04,72.3,114.5,20,70,11,7,0.088,5,19,47,29,6.4,0.63,Respiratory,0,0
2022-06-30,Thursday,June,2022,Evening,91,15,0.93,74.8,142.5,20,56,6,9,0.074,5,19,36,28,6.9,0.75,Respiratory,0,0
2022-07-01,Friday,July,2022,Night,109,17,0.99,74.7,163.1,20,54,12,23,0.061,5,20,49,31,7.4,0.71,Neurological,0,0
2022-07-02,Saturday,July,2022,Night,69,20,0.53,39.9,76.7,13,40,3,13,0.071,3,14,26,19,7.5,0.56,Trauma,0,0
2022-07-03,Sunday,July,2022,Day,61,22,0.43,56.5,147.9,14,40,2,5,0.048,2,10,29,21,6.8,0.61,Trauma,0,0
2022-07-04,Monday,July,2022,Evening,139,16,1.34,93.6,151.1,34,81,12,12,0.084,7,26,55,39,5.4,0.62,Cardiac,1,0
